"Longitude","Latitude","Date","State","Temp","CO","NO2","SO2","AtmPres"
-119.7462,36.17,"2014-11-24","California",12.38,0.49,13.77,0.64,985.82
-119.7462,36.17,"2014-11-25","California",12.83,0.52,17.2,0.59,988.28
-119.7462,36.17,"2014-11-26","California",14.43,0.66,20.08,0.68,984.34
-119.7462,36.17,"2014-11-27","California",15.06,0.57,15.37,0.66,979.67
-119.7462,36.17,"2014-11-28","California",14.03,0.56,16.05,0.59,974.1
-119.7462,36.17,"2014-11-29","California",13.89,0.43,12.18,0.58,970.52
-119.7462,36.17,"2014-11-30","California",13.6,0.3,7.45,0.3,973.33
-119.7462,36.17,"2014-12-01","California",13.67,0.42,12.58,0.34,978.38
-119.7462,36.17,"2014-12-02","California",12.72,0.36,10.75,0.35,970.91
-119.7462,36.17,"2014-12-03","California",14.79,0.29,8.65,0.31,969.36
-119.7462,36.17,"2014-12-04","California",14.29,0.34,10.2,0.35,972.47
-119.7462,36.17,"2014-12-05","California",13.66,0.43,12.06,0.44,975.75
-119.7462,36.17,"2014-12-06","California",14.16,0.44,10.76,0.41,979.16
-119.7462,36.17,"2014-12-07","California",13.52,0.44,10.75,0.38,979
-119.7462,36.17,"2014-12-08","California",13.54,0.47,14.22,0.57,977.44
-119.7462,36.17,"2014-12-09","California",13.16,0.5,15.45,0.59,976.71
-119.7462,36.17,"2014-12-10","California",12.76,0.48,15.15,0.54,972.51
-119.7462,36.17,"2014-12-11","California",13.94,0.36,10.42,0.46,967.07
-119.7462,36.17,"2014-12-12","California",10.81,0.32,9.71,0.37,971.4
-119.7462,36.17,"2014-12-13","California",9.44,0.39,9.77,0.42,979.26
-119.7462,36.17,"2014-12-14","California",8.73,0.42,10.02,0.41,978.22
-119.7462,36.17,"2014-12-15","California",9.74,0.44,12.64,0.43,975.01
-119.7462,36.17,"2014-12-16","California",10.38,0.37,12.59,0.34,974.1
-119.7462,36.17,"2014-12-17","California",10.06,0.34,11.03,0.22,976.54
-119.7462,36.17,"2014-12-18","California",10.03,0.42,12.65,0.25,980.4
-119.7462,36.17,"2014-12-19","California",10.24,0.45,12.9,0.25,981.45
-119.7462,36.17,"2014-12-20","California",11.13,0.47,12.08,0.3,980.92
-119.7462,36.17,"2014-12-21","California",12.68,0.44,9.59,0.21,981.57
-119.7462,36.17,"2014-12-22","California",14.45,0.54,13.07,0.4,980.07
-119.7462,36.17,"2014-12-23","California",14.91,0.57,13.73,0.55,980.54
-119.7462,36.17,"2014-12-24","California",12.13,0.43,11.94,0.42,975.64
-119.7462,36.17,"2014-12-25","California",8.83,0.3,5.16,0.19,973.41
